# StartTime = 10-06-2025 10:17:22.1798 PM
Time (sec), Vehicle speed (km/h), Acceleration (g), Total Fuel Economy (l/100 km), Engine Power (hp), Fuel Rate (l/hr), Total CO2 (kg), CO2 flow (g/s), Instant Fuel Economy (l/100 km), Instant CO2 rate (g/km), Mass air flow rate (g/s), Fuel/Air commanded equivalence ratio, Barometric pressure (psi), Support of intake manifold absolute pressure data, Intake manifold absolute pressure A (psi), Boost (psi), Engine RPM (RPM), Engine Torque (N•m), Latitude (deg), Longitude (deg)
10.255,0,3.2360285E-17,26.538204,4.9662733,1.3711063,11.539529,0.89415056,0,0,5.92,0.999424,14.358736,1,6.0190663,-8.33967,779.5,65.18902,44.011936,-78.94621
10.647,0,3.2360285E-17,26.53946,7.1360044,1.9701333,11.540074,1.2847989,0,0,5.47,0.999424,14.358736,1,6.3816605,-7.9770756,765,61.375458,44.011936,-78.94621
11.006,0,3.2360285E-17,26.540426,6.5935717,1.8203765,11.540495,1.1871368,0,0,5.43,0.999424,14.358736,1,6.2230253,-8.135711,758.5,61.448757,44.011936,-78.94621
11.364,0,3.2360285E-17,26.541403,6.5453553,1.8070648,11.540919,1.1784557,0,0,5.58,0.999424,14.358736,1,6.291012,-8.067724,758.75,63.125427,44.011936,-78.94621
11.725,0,3.2360285E-17,26.542406,6.7261662,1.8569838,11.541356,1.2110097,0,0,5.41,0.999424,14.358736,1,6.2230253,-8.135711,747.75,62.102585,44.011936,-78.94621
12.087,0,3.2360285E-17,26.543386,6.5212474,1.800409,11.541781,1.1741152,0,0,5.52,0.999424,14.358736,1,6.3408685,-8.017867,758.25,62.48784,44.011936,-78.94621
12.448,0,3.2360285E-17,26.544374,6.653842,1.8370161,11.542212,1.1979882,0,0,5.46,0.999424,14.358736,1,6.1912985,-8.167438,747.25,62.718487,44.011936,-78.94621
12.806,0,3.2360285E-17,26.545355,6.5815177,1.8170485,11.542638,1.1849664,0,0,5.62,0.999424,14.358736,1,6.277415,-8.081322,756.5,63.767036,44.011936,-78.94621
13.166,0,3.2360285E-17,26.546364,6.7743826,1.8702954,11.5430765,1.2196908,0,0,5.33,0.999424,14.358736,1,6.200363,-8.158373,755.75,60.536583,44.011936,-78.94621
13.528,0,3.2360285E-17,26.547325,6.4248147,1.7737856,11.543495,1.156753,0,0,5.31,0.999424,14.358736,1,6.1142473,-8.244489,752.75,60.549786,44.011936,-78.94621
13.901,0,3.2360285E-17,26.548277,6.400707,1.7671297,11.543908,1.1524124,0,0,5.33,0.999424,14.358736,1,6.336336,-8.0224,760.5,60.158478,44.011936,-78.94621
14.268,1,0.036266476,26.549232,6.4248147,1.7737856,11.544324,1.156753,0,0,9.38,0.999424,14.358736,1,7.8547,-6.504036,930,86.57425,44.011936,-78.94621
14.654,1,0.036266476,26.551003,11.306709,3.1215963,11.545161,2.0357118,312.1594,7328.562,9.39,0.999424,14.358736,1,8.262619,-6.0961175,1078.25,74.75065,44.011936,-78.94621
15.013,2,0.039340615,26.552517,11.318764,3.1249242,11.545884,2.0378819,312.4922,7336.375,9.48,0.999424,14.358736,1,8.158373,-6.200363,1100.5,73.94131,44.011936,-78.94621
15.379,3,0.07864337,26.55393,11.42725,3.1548755,11.546624,2.0574143,157.74367,3703.3457,14,0.999424,14.358736,1,10.284082,-4.074654,1313,91.5234,44.011936,-78.94621
15.761,4,0.07710809,26.556017,16.875687,4.659099,11.547718,3.0383756,155.30318,3646.0508,18.53,0.999424,14.358736,1,11.34467,-3.0140655,1516.75,104.86493,44.011936,-78.94621
16.144,6,0.10446172,26.558887,22.336176,6.1666503,11.549226,4.0215073,154.16614,3619.3564,21.05,0.999424,14.358736,1,11.208697,-3.1500385,1567.5,115.26923,44.011936,-78.94621
16.549,8,0.1431991,26.562286,25.373798,7.005288,11.551146,4.5684147,116.754715,2741.0488,21.39,0.999424,14.358736,1,11.893094,-2.4656415,1623.25,113.10823,44.011936,-78.94621
16.923,9,0.11276128,26.5651,25.783638,7.118438,11.552882,4.642204,88.98041,2088.9917,23.07,0.999424,14.358736,1,11.888562,-2.470174,1678,118.01154,44.011936,-78.94621
17.306,11,0.11204171,26.568195,27.80872,7.6775293,11.554837,5.0068088,85.30582,2002.7236,26.2,0.999424,14.358736,1,12.246624,-2.112112,1817.25,123.75292,44.0119,-78.9462
17.680,13,0.15156424,26.57144,31.58164,8.719171,11.556961,5.686103,79.26513,1860.9064,28.86,0.999424,14.358736,1,11.856835,-2.501901,1931,128.28708,44.0119,-78.9462
18.077,15,0.15110548,26.57512,34.78802,9.6044,11.559404,6.2633944,73.879944,1734.4784,30.82,0.999424,14.358736,1,11.720862,-2.637874,2078.25,127.292755,44.0119,-78.9462
18.445,17,0.1452973,26.578417,37.150616,10.256674,11.561814,6.688767,68.37777,1605.3041,35.86,0.999424,14.358736,1,11.933887,-2.4248497,2240.75,137.36804,44.0119,-78.9462
